,ID,Heading,Heading Text
3,26,Job Duties,"Help the team develop analytics for home heating and cooling equipment Implement analytics in C# and Azure ML Exhibit the LifeWhere Core Values of accountability, integrity, respect, innovation and teamwork in all your professional dealing. Improve the process for collaboration internal and with our customers. Complete necessary documentation in a timely manner (Timecards by 5pm on Friday, expenses by the 20th of each month, etc.) Other duties as assigned"
4,26,You Must Have,Working toward a Bachelor’s or Master’s degree in Data Science or related field
5,26,We Value,"Understanding various software development life cycle Demonstrate the ability to develop efficient and high-quality work Knowledge of best practices and new techniques in data science Diverse and global teaming and collaboration Effective communicator Can quickly analyze, incorporate and apply new information and concepts Ability to consistently make timely decisions even in the face of complexity, balancing systematic analysis with decisiveness Ability to convey subtle or complex messages clearly, as appropriate for the topic and audience Some relevant experience a plus"
6,26,About Us,"Resideo is a leading global provider of critical comfort and security solutions primarily in residential environments and distributor of low-voltage electronic and security products. Building on a 130-year heritage, Resideo has a presence in more than 150 million homes, with 15 million systems installed in homes each year. We continue to serve more than 110,000 professionals through leading distributors, including our ADI Global Distribution business, which exports to more than 100 countries from more than 200 stocking locations around the world. Resideo is a $5.0 billion company with approximately 13,000 global employees. For more information about Resideo, please visit www.resideo.com ."
0,27,Entry,
1,27,Summary,"At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish."
2,27,Key Qualifications,Strong communicator with excellent verbal and written presentation skills - able to evangelize data informed decision-making at all levels.
3,27,"Highly detail-oriented, organized, and patient.","Strong working knowledge of SQL, Teradata preferred"
4,27,Description,"Apple Marcom is seeking a Data Scientist to design, engineer, develop analytical dashboards and solutions that have direct and measurable impact to www.apple.com as well as Apple’s digital media and social media campaigns."
5,27,Education & Experience,"BS or equivalent Degree - Marketing, Finance, Business Analytics, or related fields. Master’s degree in Business Administration or Marketing Science is desirable."
0,28,Entry,"Lead analytics and measurement efforts for strategic accounts using the LXM approach – e.g., Existing and new promising accounts.Proactively identify and define data and learning opportunities that solve or support client objectives and create visibility to performance and the levers that drive it.Participate in client team scoping and road-mapping to ensure analytics needs are properly planned and are visible to and supported by the client and delivery teams.Develop measurement plans and strategies to provide program insights, address learning objectives and improve program effectiveness.Develop blueprints, learning roadmaps, work proposals, and data strategy presentations that outline solutions that measure against the client’s objectives and provide insights that reveal or empower opportunities for improving performance.Provide thought leadership and act as the subject matter expert in the deployment of data-driven solutions, measurement, and analytics – be familiar with multiple approaches and recommend the one that best drives to the client need.Oversee the full analytics lifecycle from problem identification, solutioning, requirements development, solution creation and results delivery.Write and/or review briefs to external resources that define and specify requirements for more in-depth analytics projects (exploratory, descriptive, and predictive analytics, ML, AI) and lead/oversee the delivery of solutions from the results.Complete the work with a cogent presentation of findings with actionable recommendations.Where needed, apply statistical concepts and techniques to analyze experiments and predict user behavior and behavioral drivers for accuracy and client alignment."
1,28,Additional Information,"Merkle fosters a diverse environment that encourages original thinking about our business and empowers us to communicate with a global world of customers. We embrace differences of opinion and diversity of thought as they help us challenge and refine our solutions. Merkle, as a best-in-class marketing agency, welcomes big ideas, and believes they can come from anywhere."
2,28,Perks & Benefits,"Merkle offers a flexible vacation policy, retirement benefits, paid sick leave, generous health, dental and vision insurance options, parental leave, adoption benefits, and more. We recognize high-performers and provide long-term growth opportunities. We hope you'll join us!"
3,28,FLSA Status: Exempt,
4,28,Desired Skills and Experience,"4+ years’ experience in data science or analytics roles delivering campaign and audience measurement, data-driven insights, predictive modeling, and recommendations to internal or external clients.Ability to articulate analytics expertise through the work of others – by leading technical resources to perform the analyses and leading the client team through recommending, championing, and briefing those analyses.Demonstrated strong presentation and storytelling with data skills. Be able to deliver clear value while simplifying the complexity for business audience and partnering with other disciplines to deliver recommendations.Familiarity and some experience using predictive modeling approaches, including machine learning, AI, clustering, regression, ensemble modeling, and decision trees.Ability to query, manipulate, extract, and analyze structured data from large data repositories to generate actionable insights that deliver business resultsFamiliarity with experimental design and offer testing methodologyExperience with cloud-based big data platforms – e.g., Redshift, Big Query, Teradata.Bachelor’s degree or master’s (preferred) in a quantitative field (STEM or quantitative social sciences) and/or MBA with strong quant background.Strong organizational skills – task prioritization, effective time management, meeting facilitation, conflict resolution, and risk identification/mitigationStrong business skills – understand and identify key business levers and tailor recommendations that tap them.Knowledge of the digital marketing ecosystem and fluency with common web technologies is strongly preferredStrong strategic thinking and prioritization skillsExperience with Power BI or other front-end visualization tool is a plus"
0,29,Entry,
1,29,Summary,"Do you get excited by driving product impact via measurement and evaluation, for products and services used by hundreds of millions of people globally?"
2,29,Key Qualifications,Experience articulating and translating business questions and using statistical techniques to arrive at an answer using available data.
3,29,Description,"The goal of the Siri Search team is to take Siri search to the next level of intelligence and accuracy using advanced statistical techniques. The Data Scientist role in this team has a spectrum of approaches to improving Siri search, including"
4,29,Education & Experience,"An academic background is in quantitative field such as Statistics, Operational Research, Bioinformatics, Economics, Computer Science, Sociology, Mathematics, Physics, or similar quantitative field. Prefer advanced degree + 2 years of relevant industry experience."
0,30,Entry,
1,30,Summary,"At Apple, new ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish."
2,30,Key Qualifications,Strong communicator with excellent verbal and written presentation skills - able to evangelize data informed decision-making at all levels.
3,30,"Highly detail-oriented, organized, and patient.","Strong working knowledge of SQL, Teradata preferred"
4,30,Description,"Apple Marcom is seeking a Data Scientist to design, engineer, develop analytical dashboards and solutions that have direct and measurable impact to www.apple.com as well as Apple’s digital media and social media campaigns."
5,30,Education & Experience,"BS or equivalent Degree - Marketing, Finance, Business Analytics, or related fields. Master’s degree in Business Administration or Marketing Science is desirable."
0,31,Entry,Come see what’s cookin’ at HelloFresh!
1,31,Job Description,"We’re hiring a Growth Analytics Data Scientist to support cross-brand insights to scale our businesses profitably. The role will develop marketing optimization and digital product optimization through in-depth analytical insights and experimentation. You will support the development of analytical capabilities for one of the fastest-growing US food brands and be the champion of a data-centric approach to our marketing and digital product operations. You will be working collaboratively with data engineering, business intelligence, data science, and to provide effective and high impact data solutions."
2,31,You will …,"Analyze complex business problems using large datasets from internal and external sources to provide deep insight and recommendations to decision-makers Support the development of analytical platform and reporting capabilities Lead the development of self-service reporting tools, produce complex analytical models, develop forecasts, and drive predictive and prescriptive data solutions Enhance and maintain measurement and reporting for the growth marketing organization Collaborate with stakeholders and partners within the data organization to drive analytical projects including channel mix optimization, targeting strategies, testing, performance analysis, and reporting solutions"
3,31,You are …,"Results-oriented - You love transforming data into meaningful outcomes Gritty - When you encounter obstacles you find creative solutions Intellectually curious – You love to understand why things are the way they are, how things work, and challenge the status quo A team player – You favor team victories over individual success A structured problem solver – You possess strong organizational skills and consistently demonstrate a methodical approach to all your work Agile – You thrive in fast-paced and dynamic environments and are comfortable working autonomously A critical thinker – You use logic to identify opportunities, evaluate alternatives, and synthesize and present critical information to solve complex problems."
4,31,You’ll get …,"Competitive Salary & 401k company match that vests immediately upon participation Generous parental leave of 16 weeks & PTO policy $0 monthly premium and other flexible health plans effective first day of employment 75% discount on your subscription to HelloFresh (as well as other product initiatives) Snacks, cold brew on tap & monthly catered lunches Company-sponsored outings & Employee Resource Groups Collaborative, dynamic work environment within a fast-paced, mission-driven company"
0,32,Entry,
1,32,Summary,"Join the team that provides software security technologies to help users protect their accounts. We believe in transforming your smartphone into a device that secures your digital life without sacrificing your privacy. We are seeking a data scientist that will develop solutions to bring order to unstructured data using modeling techniques. A successful candidate will have a bent for applied research with expertise in pattern mining, anomaly detection, predictive modeling, classification and optimization. The candidate will take end-to-end responsibility for translating customer needs into analytical solutions from feature engineering, implementation, model training and reporting. The role requires working in a fast paced environment, handling multiple assignments and being self driven. Candidates also need to show initiative and be able to take ownership of a problem area."
2,32,Key Qualifications,"Strong working knowledge of data mining algorithms including classifiers, clustering algorithms and anomaly detection techniques"
3,32,Passion for problem-solving and analysis,"Highly motivated and organized, with the ability to accept ambiguity and deliver exceptional results on tight schedules"
4,32,Description,"Apple is looking for a data scientist to work on our software security technologies to develop and launch new products. You will work hand-in-hand with security engineers, software engineers, program managers and business partners to understand problems, define data-driven solutions, execute plans and communicate results on a regular basis."
5,32,Education & Experience,"MS or PhD in quantitative field, such as Computer Science, Applied Mathematics, or Statistics, or equivalent industry experience"
0,33,Entry,
1,33,About you:,"Currently pursuing, or have completed a bachelor's degree in a relevant analytics field. This can range from a degree in finance or economics to something along the lines of political science."
2,33,Bonus:,
3,33,Demonstrated interest in real estate,Desire to be a part of a small but rapidly growing company that requires employees to be multi faceted and adaptable.
4,33,Your impact:,Work alongside web developers to implement beneficial changes to the platform
5,33,Perks and Benefits:,
6,33,Competitive compensation,"Perchwell provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws."
0,34,Entry,"We are an intellectually diverse team of economists, statisticians, engineers, and other analytics professionals, focused on quantitative modeling within CCB at JPMorgan Chase & Co. The team answers complex and unique questions, utilizing cutting edge quantitative and computational techniques and leveraging one of the world's largest repositories of consumer data. We work closely with our partners throughout JPMorgan Chase to assess and execute critical business decisions."
1,34,Responsibilities:,Apply critical thinking skills and perform advanced analytics with the goal of solving complex and multi-faceted business problems.
2,34,Mentor junior team members,
3,34,Qualifications:,"Deep quantitative/programming background with a graduate degree (M.S., Ph.D.) in Statistics, Engineering, Computer Science, Mathematics, Operations Research, or Economics,"
4,34,Equal Opportunity Employer/Disability/Veterans,Significant experience working with very large scale (structured and unstructured) data.
0,35,Entry,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 375 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies."
1,35,Job Description:,
2,35,Key Responsibilities,Understand how to make data visually appealing and simple to both navigate and comprehend for end-users
3,35,Basic Requirements:,"Must be earning a Bachelor’s or Master’s degree in Computer Science, Math, Statistics or related field"
4,35,Position Location: Varies,"We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom."
0,36,Entry,
1,36,The Role:,"The Data Technician role is an entry-level position suitable for someone looking to break into the startup/big data world and gain experience working with top tier data scientists and software engineers, helping clean and manage the data used in our models."
2,36,Requirements:,
3,36,Qualifications:,
4,36,Detail-oriented personality,
5,36,Excellent communication skills,
6,36,Proactive in improving existing methods/tools,
7,36,Responsible and reliable,Technical Skills (highly preferred but not required):
8,36,"Python, JavaScript, HTML",
9,36,"Pandas, PostgreSQL",
10,36,Web scraping,
11,36,Why Thasos?,"Winner – “Best Alternative Data Provider, 2018” Inside Market Data"
12,36,Company-sponsored lunch every Thursday,"Regular company outings (happy hours, hikes)"
0,37,Entry,"New York State will hire and train a team of staff working remotely to support the NYS Department of Health (NYSDOH) and Local Health Departments (LHDs) to perform COVID-19 contact tracing in communities across NYS. The aim of this initiative will be to call every person diagnosed with COVID-19, establish all contacts of this person, and proceed to call and maintain ongoing communication with every contact. In addition, the team will support the isolation and quarantine of individuals, as appropriate in cooperation with the LHD. This includes virtual needs checks and referral to community resources as needed. This contact tracing initiative is in tandem with statewide-wide efforts to increase testing, improve communication and knowledge of effective strategies to reduce transmission, and implementation of isolation and quarantine. This will fortify efforts to control the pandemic in NYS."
1,37,General Summary:,"The Contact Tracer will use a web-based client resource management (CRM) platform to call all contacts of anyone diagnosed with COVID-19, determine exposure, assess symptoms, refer for testing according to established protocols, and provide them with instructions for isolation or quarantine. Contact Tracers will maintain ongoing communication with contacts to assess symptoms, ensure compliance with quarantine and determine social support needs and/or handle reporting of issues that arise. Contact Tracers are required to follow set scripts and adhere to policies and procedures provided by NYS. They will also comply with Department training regarding confidential information related to personal information. COVID-19 Contract Tracers will be required to work a minimum of 20 hours per week."
2,37,Minimum Qualifications:,"High school diploma, or equivalent required. Must be 18 years of age or older. Some college training preferred."
3,37,Must be a NYS resident.,"Ability to speak, read, and write English clearly and concisely. Fluency in a second or multiple languages would be a plus."
4,37,A headset is preferred.,
5,37,Preferred Skills:,"Ability to exhibit a professional, positive attitude and independent work ethic."
6,37,Excellent organizational and communication skills.,
7,37,Sound judgment required.,Ability to handle confidential information with discretion and professionalism.
0,38,Entry,
1,38,About Us,"Decode_M is a new kind of insights and strategy firm. We Decode Data into Momentum™ for individuals, organizations and movements. This means, for each client in our diverse portfolio (think Estee Lauder Companies, Airbnb, WeWork, Brooklyn Brewery, the NHL), we use wide-ranging data sources to diagnose what’s most in the way of our clients’ ambition and then advise them on how to move forward."
2,38,The Opportunity,"We’re actively looking to recruit a Junior Data Scientist with 1-3 years of experience who, among other things, can support the team in developing scalable data solutions for the team and our client challenges. This position, based in New York City, requires a strong interest in digital, analytics, data science, and quantitative and qualitative research, a natural curiosity, an eagerness to dive into the deep end, and a hunger to learn and grow while having a blast. Expect to learn a lot about cool companies, new products, and the latest in digital, analytics, research and strategy."
3,38,Who You Are,You’ve solved a difficult or time-intensive problem by writing a quick program
4,38,What You'll Do,"Build Data Tools: Extract data from social media, online reviews, mainstream media sites, search, web traffic, etc. to uncover intelligence around growth opportunities and business challenges."
5,38,Skills/Qualifications,"You are proficient with Python, R, SQL, and Microsoft Excel; you have experience working with APIs"
6,38,How To Apply,Send your resume and a cover letter to jobs@decode-m.com.
0,39,Entry,
1,39,CIVILIAN COMPLAINT REVIEW BD,
2,39,Job Posting Notice,
3,39,Job ID,
4,39,458578,
5,39,Business Title,
6,39,Civilian Assistance Unit Advocate,
7,39,Civil Service Title,
8,39,INVESTIGATOR (CCRB),
9,39,Title Classification,
10,39,Non-Competitive,
11,39,Job Category,"Constituent Services & Community Programs, Public Safety, Inspections, & Enforcement, Social Services"
12,39,Career Level,
13,39,Experienced (non-manager),
14,39,Work Location,
15,39,"100 Church St., N.Y.",
16,39,Division/Work Unit,
17,39,Civilian Complaint Review Bd,
18,39,# of Positions,
19,39,2,
20,39,Title Code No,
21,39,31165,
22,39,Level,
23,39,02,
24,39,Proposed Salary Range,"$ 58,167.00 - $ 58,167.00 (Annual)"
25,39,Job Description,"The Civilian Complaint Review Board (CCRB) receives and investigates approximately 5,000 complaints each year. The largest civilian oversight agency in the United States, the CCRB is an"
26,39,Civilian Assistance Unit (CAU),"The Unit will aid those who reportedly experienced trauma following a police encounter, with specific assistance provided for those who have reported sexual assault or other types of serious"
27,39,Tasks and Responsibilities:,"Assists civilians in recovering from the physical, emotional, and financial impact of traumaConducts psychosocial assessment and determines needs of civiliansProvides resources, referrals, and assistance with victim's compensation, burial assistance, housing/relocation, clothing, food, transportation, medical services, counseling, mentoring, or other"
28,39,appropriate services,"Provides support and assistance to civilians navigating CCRB processResponds to inquiries and requests; explains the Victim Bill of Rights and judicial processesNotifies civilians of any status changes in case proceedings, such as hearing dates, case status and outcomes, and other pertinent informationCommunicates with Administrative Prosecution Unit, Investigators, community service providersUses phone, email, written correspondence, and in-person meetings to make contact and follow-up with civiliansAccompanies civilians to investigator and attorney interviews as needed to provide support and guidanceCommunicates with Administrative Prosecution Unit, Investigators, community service providers, volunteers, interns, the public, and other individuals as needed to coordinate work, activities"
29,39,Minimum Qual Requirements,1. A baccalaureate degree from an accredited college or university
30,39,Preferred Skills,"Bachelor’s degree in social work, criminal justice,psychology or a related field required;"
31,39,Foreign language proficiency a plus.,
32,39,Essential Skills,"Proficient in MS Suite.Exceptional oral and written communication skills.Ability to multi-task, manage competing priorities, and meet deadlines.A collegial, flexible and adaptable approach to work is required"
33,39,Additional Information,
34,39,PUBLIC SERVICE LOAN FORGIVENESS PROGRAM,The federal government provides student loan forgiveness through its Public Service Loan Forgiveness
35,39,Program website at https://studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation/public-service to,
36,39,view the eligibility requirements.,
37,39,To Apply,We are excited to learn more about you and your interest in the CCRB. Our applicant portal allows (2)
38,39,1. Resume,2. Cover letter (explaining your interest in our Civilian Assistance Unit Advocate role and the CCRB)
39,39,3. Unofficial college transcript samples,
40,39,CITY EMPLOYEES:,1) Apply through Employee Self Service (ESS) under Recruiting Activities
41,39,FOR ALL OTHER APPLICANTS:,
42,39,1) Go to www.nyc.gov/careers/search,2) Search for Job ID# 458578
43,39,BE CONTACTED,"In compliance with Federal Law, all persons hired will be required to verify identity and eligibility to work"
44,39,hire.,THE CITY OF NEW YORK IS AN EQUAL EMPLOYMENT OPPORTUNITY EMPLOYER
45,39,Residency Requirement,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview."
46,39,POSTING DATE,
47,39,02/19/2021,
48,39,POST UNTIL,
49,39,03/04/2021,The City of New York is an Equal Opportunity Employer
0,40,Entry,
1,40,Overview,Do you have a noticeable passion for results?
2,40,Responsibilities,"Design, develop and program methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for client services and product enhancement."
3,40,Job Requirements,Act independently to determine methods and procedures on new or special assignments.
4,40,#LI-AA,Work on significant and unique issues where analysis of situations or data requires an evaluation of intangibles.
0,41,Entry,Build your career while building NYC schools!
1,41,Job Description Summary,"The Confidential Human Resources Specialist - A reports to a designated Manager or Director and to the Senior Director of Human Resources and is responsible for providing a wide-range of support within the Human Resources division. The Confidential Human Resources Specialist - A has access to confidential information used in the conduct of collective bargaining, grievance arbitration, benefits, and other Human Resources matters."
2,41,Job Description,
3,41,Responsibilities include:,Responsible for assisting in the maintenance of Human Resources Information System (Workday).
4,41,Performs related tasks.,
5,41,Civil Service Classification: Non-Competitive,
6,41,"Salary Range: $53,275.00 - $90,567.00",
7,41,POSTING PERIOD: 02/16/21 – 03/01/21,
8,41,Education,High school diploma or its educational equivalent
9,41,Certifications (if required),
10,41,Work Experience,"Four years of full time experience in clerical administrative areas assisting in human resources, or comparable administrative duties; computer literacy or satisfactory combination of education and experience."
0,42,Entry,"Stock associates are responsible for all aspects of the receiving area process. Responsibilities include processing incoming and outgoing freight, compiling and maintaining records pertaining to orders, receiving, supplies and equipment."
1,42,Basic Qualifications,"Must be fluent in reading, writing, and speaking English."
2,42,Preferred Qualifications,Prefer six months of experience in a retail environment.
0,43,Entry,Project Associate - Hotel Project Associate
1,43,Project Details & Requirements:,
2,43,Client Execution:,Conduct quality assurance consultative visits to meet the unique expectations and program requirements of the assigned client.
3,43,Private space for confidential conversations,"Professional space, as will appear in background of video conferences with client"
4,43,Training & Account Management:,"Contributes to the development of and leads client trainings for new hires, updates, annual trainings in conjunction with other Senior Consultants"
5,43,Qualifications:,"Minimum of two years of hospitality management and/or hotel operations management experience. Bachelor’s Degree in Hospitality Business, Hotel/Restaurant Management, Tourism or equivalent experience strongly preferred."
6,43,Laptop functionality,
7,43,Video conferencing software (i.e. Zoom),Ability to utilize multiple web applications (at least 3) at one time
8,43,Microsoft Teams,"Excellent command of English language (clearly speaking, reading comprehension, and writing) with strong analytic and presentation abilities."
0,44,Entry,
1,44,DEPT OF HEALTH/MENTAL HYGIENE,
2,44,Job Posting Notice,
3,44,Job ID,
4,44,458097,
5,44,Business Title,
6,44,Data Analyst,
7,44,Civil Service Title,
8,44,CITY RESEARCH SCIENTIST,
9,44,Title Classification,
10,44,Non-Competitive,
11,44,Job Category,
12,44,"Health, Policy, Research & Analysis",
13,44,Career Level,
14,44,Experienced (non-manager),
15,44,Work Location,
16,44,42-09 28th Street,
17,44,Division/Work Unit,
18,44,# of Positions,
19,44,1,
20,44,Title Code No,
21,44,21744,
22,44,Level,
23,44,02,
24,44,Proposed Salary Range,"$ 75,504.00 - $ 93,776.00 (Annual)"
25,44,Job Description,"The mission of BHIV is to end HIV transmission, promote the health of all New Yorkers with or vulnerable to HIV, reduce HIV-related inequities and combat stigma."
26,44,Units within the Bureau include:,"HIV Prevention (HIV testing, promotion of biomedical prevention)"
27,44,"Epidemiology (surveillance, partner services)",
28,44,Clinical Operations and Technical Assistance,"Social Marketing and Community Engagement (social marketing and digital media, community engagement, condom distribution)"
29,44,policy development,
30,44,direct administration of programs,
31,44,oversight of contracted programs,
32,44,community participatory planning,
33,44,provider outreach and education,
34,44,research,
35,44,surveillance,The goal of preventing new infections and supporting New York City residents living with HIV/AIDS.
36,44,Minimum Qual Requirements,"1. For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health."
37,44,NOTE:,
38,44,Probationary Period,Appointments to this position are subject to a minimum probationary period of one year.
39,44,Preferred Skills,"Experience with large administrative datasets, intermediate to advanced statistical skill in SAS and/or R."
40,44,Experience in public health evaluation.,
41,44,keen attention to detail.,Experience with implementation of novel technology and analysis techniques to address the leading edge of the HIV epidemic in NYC.
42,44,Additional Information,
43,44,**IMPORTANT NOTES TO ALL CANDIDATES:,"Please note: If you are called for an interview you will be required to bring to your interview copies of original documentation, such as:"
44,44,Current Resume,"Proof of Address/NYC Residency dated within the last 60 days, such as: Recent Utility Bill (i.e. Telephone, Cable, Mobile Phone)"
45,44,**LOAN FORGIVENESS,The federal government provides student loan forgiveness through its Public Service Loan Forgiveness Program (PSLF) to all qualifying public service employees. Working with the DOHMH qualifies you as a public service employee and you may be able to take advantage of this program while working full-time and meeting the program’s other requirements.
46,44,https://studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation/public-service,"""FINAL APPOINTMENTS ARE SUBJECT TO OFFICE OF MANAGEMENT & BUDGET APPROVAL”"
47,44,To Apply,"8097Apply online with a cover letter to https://a127-jobs.nyc.gov/. In the Job ID search bar, enter: job ID number # 458097."
48,44,Residency Requirement,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview."
49,44,POSTING DATE,
50,44,02/12/2021,
51,44,POST UNTIL,
52,44,06/08/2021,The City of New York is an Equal Opportunity Employer
0,45,Entry,TransPerfect Is More Than Just a Job…
1,45,Locations:,
2,45,"US-New York, NY (211 43rd)",TransPerfect is staffing a Data Breach/Data entry project starting ASAP
3,45,Project Details & Requirements:,
4,45,Start Date: ASAP,
5,45,Location: TPT Midtown Office,
6,45,Pay Rate: $25/hour,
7,45,Duration: 6-8 Weeks,Hours: Must be able to work 40 hours
8,45,Familiar with Microsoft Excel,If selected 1 day paid training is required during the week
9,45,What We Offer:,
10,45,Supportive team,
11,45,"Health, dental, vision insurance",
12,45,Commuter Benefits,"TransPerfect provides equal employment opportunity to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law."
0,46,Entry,"As part of Manhattan College's commitment to a safe campus, the College has introduced a Contact Tracing program. The Manhattan College Contact Tracing program will resemble the efforts of New York State's Department of Health. The purpose of our internal Contact Tracing efforts is to minimize as much as possible the spread of the COVID-19 virus at our campus during the COVID-19 global pandemic.Responsibilities"
1,46,General Summary:,"The Manhattan College Contact Tracer will use a web-based platform to call student, faculty or staff diagnosed with COVID-19. Tracers will determine exposure, assess symptoms, refer for testing according to Health Services established protocols, and provide individuals with instructions for isolation. Contact Tracers will also determine close contacts that the individual came in contact with prior to the onset of their illness and perform tracing efforts. Tracers will maintain communication with anyone identified as a positive case or close contact to assess symptoms, and determine support needs and/or provide resource options available at Manhattan College to them during their isolation/ quarantine period. Contact Tracers are required to follow set scripts and adhere to Manhattan College policies and procedures. They will also comply with program training regarding confidential information related to personal information. In addition, Tracers will:"
2,46,Qualifications,
3,46,Minimum Qualifications:,"High school diploma, or equivalent required. Must be 18 years of age or older. Some college training preferred."
4,46,Preferred Skills:,"Ability to exhibit a professional, positive attitude and independent work ethic."
5,46,Excellent organizational and communication skills.,
6,46,Sound judgment required.,Ability to handle confidential information with discretion and professionalism.
0,47,Entry,
1,47,Summary,
2,47,ABOUT SAINT LAURENT,"Founded in 1961, Yves Saint Laurent was the first couture house to introduce the concept of luxury prêt-à-porter in a 1966 collection called ‘Rive Gauche’, synonymous with youth and freedom. This shift represented a first critical step in the modernization of fashion and revolutionized the socio- cultural landscape."
3,47,Job Description,"We a re c urr e n t l y seek ing a Regional Client Service Ambassador w ho w i ll r e port to the Regional Client Service Manager a s p a rt of our d y n am ic t e a m i n New York, New York."
4,47,ROLE,"As part of the Client Services team, your mission is to accompany our client throughout the full purchase journey (from discovery to after sales) and maintain a high level of customer satisfaction and retention. As Client Services Ambassador, you will actively contribute to promoting the brand image and its values by providing qualitative and personalized advice throughout all channels (E-Business, Retail, Franchises and Wholesale) and interactions with our clients. As a Client Service Ambassador, you will foster strong relationships with stores to ensure an overall positive client experience. You will be a key contact for escalations, deliver appropriate solutions while strengthening the relationship with our client. You will communicate customer insights and feedback to the relevant departments to ensure the feedback is being actioned on. You will manage several channels of communicates (telephone, email, and chat) keeping your personal KPI target in mind as well as the team’s KPI goals."
5,47,MISSION,
6,47,BRAND IMAGE,"Assist in the development of a seamless Omni-channel experience ensuring consistency, quality and reactivity for all clients in collaboration with HQs and the AMER leadership team"
7,47,Act as brand ambassador,
8,47,OPERATIONS PROCESS,"Handle client inquiries, complaints and service for ysl.com as well as our stores and manage after sales requests"
9,47,Escalate incidents as appropriate,
10,47,Meet individual and team KPIs,
11,47,Capture accurate client data,
12,47,CLIENT/BUSINESS DEVELOPMENT,Develop the business and client base by cultivating a strong client relationship with trust and open and interactive communication.
13,47,PROFILE,Enthusiasm for the Brand and the Fashion Industry
14,47,Commercial mindset,Excellent written and verbal skills in English. Fluency in French is an advantage.
15,47,Thorough and excellent organizational skills,At ease with online tools and openness to new technologies
16,47,Team player,
17,47,Fast learner,
18,47,Problem solver-ability to multitask.,
19,47,Resistance to stress,
20,47,Schedule flexibility,Previous experience in store retail sales or service industry appreciated
21,47,Job Type,
22,47,Regular,
23,47,Start Date,
24,47,2021-03-01,
25,47,Schedule,
26,47,Full time,
27,47,Organization,
28,47,Yves Saint Laurent America Inc,This shift represented a first critical step in the modernization of fashion and revolutionized the socio- cultural landscape.
0,48,Entry,
1,48,ADMIN TRIALS AND HEARINGS,
2,48,Job Posting Notice,
3,48,Job ID,
4,48,456326,
5,48,Business Title,
6,48,Clerical Associate,
7,48,Civil Service Title,
8,48,CLERICAL ASSOCIATE,
9,48,Title Classification,
10,48,Competitive,
11,48,Job Category,
12,48,Administration & Human Resources,
13,48,Career Level,
14,48,Entry-Level,
15,48,Work Location,"66 John Street, New York, Ny"
16,48,Division/Work Unit,
17,48,Hearing Division MA,
18,48,# of Positions,
19,48,1,
20,48,Title Code No,
21,48,10251,
22,48,Level,
23,48,02,
24,48,Proposed Salary Range,"$ 32,850.00 - $ 37,777.00 (Annual)"
25,48,Job Description,
26,48,Job Description,"The City of New York’s Office of Administrative Trials and Hearings (OATH) is the nation’s largest administrative tribunal, holding approximately 400,000 trials and hearings a year. OATH is seeking to hire one (1) full time Clerical Associate to work in its Remote Adjudication and Special Motions Part Unit."
27,48,Minimum Qual Requirements,
